Instance,k,Population,Fitness,Time,Initialization
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,50,148,72.65,32.14
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,50,145,79.89,34.49
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,50,145,99.9,34.6
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,50,144,102.6,34.04
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,50,144,120.33,34.3
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,100,143,150.92,69.81
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,100,144,158.61,67.43
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,100,142,159.13,69.08
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,100,143,160.66,68.24
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,100,142,165.22,66.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,50,81,106.07,35.77
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,50,82,116.36,33.38
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,50,82,114.98,32.52
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,50,82,111.23,34.37
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,50,80,129.53,34.44
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,150,140,229.26,99.45
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,150,142,232.28,99.56
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,150,142,239.17,102.13
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,150,142,246.99,101.66
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,150,141,263.67,102.43
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,100,82,198.43,67.9
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,100,80,210.56,67.78
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,100,80,211.74,63.26
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,200,143,294.43,132.75
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,100,80,228.02,68.37
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,100,78,237.84,69.62
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,200,143,325.73,135.17
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,200,141,335.99,139.42
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,200,142,352.28,134.86
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,4,50,161,138.18,48.61
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,4,50,158,152.44,48.81
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,4,200,140,381.55,140.9
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,4,50,161,150.24,47.27
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,4,50,159,158.18,46.67
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,4,50,160,167.57,47.99
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,4,50,152,403.09,143.73
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,150,79,317.47,103.7
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,150,79,333.66,101.75
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,150,78,344.28,97.62
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,150,80,354.65,104.01
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,4,150,80,353.67,97.38
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,4,50,151,475.09,151.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,4,50,155,140.11,56.52
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,4,50,153,332.27,94.6
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,4,50,150,348.7,106.27
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,4,100,161,209.46,97.29
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,4,50,150,346.73,93.89
