Instance,k,Population,Fitness,Time,Initialization
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,50,39,24.4,16.62
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,50,39,26.62,16.05
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,50,23,29.19,16.07
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,50,39,30.1,16.32
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,50,39,31.88,15.67
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,50,21,33.35,15.35
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,100,38,149.39,85.25
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,50,38,34.93,16.04
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,50,23,36.25,15.59
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,50,22,39.26,15.74
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,50,22,40.55,15.91
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,50,39,40.08,21.74
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,50,41,41.75,21.11
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,50,40,44.49,21.69
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,50,41,46.45,20.61
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,50,39,50.61,22.66
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,100,38,44.79,30.6
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,100,38,45.93,31.06
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,100,38,52.09,30.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,100,38,58.63,31.9
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,100,38,59.83,32.15
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,100,22,68.28,32.44
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,100,40,62.12,41.06
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,100,21,73.12,33.09
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,100,22,76.42,31.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,100,21,75.65,32.64
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,100,40,68.36,43.13
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,100,21,82.78,30.17
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,150,39,68.55,45.79
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,50,38,42.82,23.33
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,50,39,44.02,22.83
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,100,39,76.07,41.38
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,150,39,72.8,45.45
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,150,38,73.88,46.03
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,100,39,79.76,41.15
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,50,40,78.6,43.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,50,39,48.91,24.21
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,50,37,80.08,42.77
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,50,39,85.87,37.89
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,50,37,78.31,46.74
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,150,38,80.67,45.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,50,39,54.65,24.1
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,150,38,83.4,47.04
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,50,39,51.2,22.79
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,100,39,92.73,43.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,50,38,95.4,43.53
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,150,21,104.3,46.98
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,200,38,92.32,63.07
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,150,21,105.28,49.88
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,1,50,39,95.12,66.51
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,150,22,116.7,46.44
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,150,39,106.8,58.42
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,1,50,40,101.07,65.18
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,150,39,105.36,61.78
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,150,39,105.63,62.69
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,1,50,39,101.88,66.77
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,200,38,107.82,62.49
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,200,38,109.06,61.49
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,200,38,108.9,64.22
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bath.txt,1,200,38,117.31,61.0
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,1,50,39,113.22,66.5
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,100,39,70.8,49.61
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,150,21,134.47,46.64
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,150,39,120.25,62.58
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,100,39,76.16,47.32
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,100,38,77.62,47.08
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,100,39,77.56,47.4
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,100,39,81.22,46.84
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,150,21,139.92,47.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,150,39,126.89,63.03
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,1,50,39,126.16,68.24
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,50,38,56.89,31.3
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,200,22,135.83,62.65
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,50,40,57.08,32.94
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,50,41,51.42,29.33
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,1,50,51,33.83,27.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,50,39,63.74,30.01
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,50,38,52.96,30.46
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,1,50,52,38.87,27.96
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,1,50,52,42.03,28.73
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,1,50,52,38.22,28.91
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,200,39,131.96,85.48
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,1,50,50,51.0,29.37
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,200,21,162.81,61.66
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,200,39,142.62,82.66
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,200,21,164.3,62.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,200,39,153.65,84.65
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,100,37,149.7,89.36
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,200,39,156.26,83.55
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,200,21,180.34,62.26
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,100,38,164.17,84.98
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,100,38,168.74,83.67
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,1,200,39,162.81,91.15
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,150,39,115.5,71.35
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,1,100,38,175.47,81.03
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,150,39,122.35,67.73
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,100,38,103.9,59.96
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,1,200,21,208.11,62.22
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,100,38,91.56,60.06
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,100,39,93.47,60.09
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,150,39,134.43,70.28
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,150,39,127.82,68.33
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,1,150,39,128.61,71.31
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,1,50,41,109.61,60.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,100,39,103.66,62.04
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,1,100,38,109.37,58.22
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,1,100,39,167.77,123.55
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,1,100,51,77.6,55.91
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,1,100,50,85.34,55.33
