Instance,k,Population,Fitness,Time,Initialization
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,100,80,146.14,61.87
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,50,74,104.21,34.31
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,100,81,157.43,62.08
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,100,80,157.03,63.33
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,50,76,115.7,35.46
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,50,80,89.72,43.98
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,50,80,101.6,43.85
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,200,41,295.29,97.27
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,50,77,125.59,45.66
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,200,42,297.96,94.01
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,200,41,300.6,103.12
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,100,75,148.77,68.68
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,50,78,114.18,44.7
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,100,74,140.98,68.62
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,50,80,115.14,47.22
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,150,81,197.24,91.57
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,100,74,159.49,69.89
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,100,74,160.82,72.17
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,200,41,330.6,96.66
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,100,75,165.84,72.03
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/brighton.txt,2,200,42,333.27,95.25
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,150,80,217.31,92.13
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,50,96,81.5,41.07
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,100,76,276.96,128.8
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,50,95,91.82,37.63
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,150,80,218.69,96.42
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,150,79,231.04,94.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,50,94,99.66,40.87
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,50,96,102.2,39.3
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,150,81,240.51,92.49
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,50,96,102.56,41.6
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,100,74,304.22,128.68
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,100,73,331.5,132.75
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,100,76,316.3,131.0
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,100,75,345.71,121.99
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,100,79,172.67,95.36
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,150,74,220.34,104.19
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,150,74,240.64,103.15
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,100,78,204.52,90.08
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,100,78,410.16,186.45
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,150,74,238.38,109.29
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,100,78,202.26,90.34
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,200,80,284.92,127.36
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,100,79,217.82,94.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,100,94,139.76,84.7
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,100,79,212.97,94.64
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,200,79,288.65,128.86
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,150,74,253.8,107.63
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,100,78,438.23,194.64
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,150,74,256.69,107.71
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,100,95,145.8,79.63
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,100,95,170.67,74.61
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,100,94,166.46,79.86
